i_episode 0	reward_accu: -1 	action_length: 24
i_episode 41	reward_accu: -1 	action_length: 27
i_episode 42	reward_accu: 0 	action_length: 1824
i_episode 43	reward_accu: -1 	action_length: 197
i_episode 44	reward_accu: -1 	action_length: 31
i_episode 45	reward_accu: -1 	action_length: 14
i_episode 46	reward_accu: 0 	action_length: 305
i_episode 47	reward_accu: 0 	action_length: 64
i_episode 48	reward_accu: -1 	action_length: 793
i_episode 49	reward_accu: 0 	action_length: 11
i_episode 50	reward_accu: 0 	action_length: 253
i_episode 51	reward_accu: -1 	action_length: 24
i_episode 52	reward_accu: -1 	action_length: 135
i_episode 53	reward_accu: 0 	action_length: 418
i_episode 54	reward_accu: 0 	action_length: 199
i_episode 55	reward_accu: -1 	action_length: 1
i_episode 56	reward_accu: -1 	action_length: 27
i_episode 57	reward_accu: -1 	action_length: 36
i_episode 58	reward_accu: -1 	action_length: 56
i_episode 59	reward_accu: -1 	action_length: 591
i_episode 60	reward_accu: 0 	action_length: 482
i_episode 61	reward_accu: 0 	action_length: 112
i_episode 62	reward_accu: 0 	action_length: 68
i_episode 63	reward_accu: -1 	action_length: 607
i_episode 64	reward_accu: -1 	action_length: 65
i_episode 65	reward_accu: 0 	action_length: 20
i_episode 66	reward_accu: -1 	action_length: 11
i_episode 67	reward_accu: 0 	action_length: 105
i_episode 68	reward_accu: 0 	action_length: 20
i_episode 69	reward_accu: -1 	action_length: 63
i_episode 70	reward_accu: -1 	action_length: 19
i_episode 71	reward_accu: -1 	action_length: 55
i_episode 72	reward_accu: -1 	action_length: 27
i_episode 73	reward_accu: 0 	action_length: 833
i_episode 74	reward_accu: -1 	action_length: 1
i_episode 75	reward_accu: -1 	action_length: 1
i_episode 76	reward_accu: 0 	action_length: 195
i_episode 77	reward_accu: 0 	action_length: 17
i_episode 78	reward_accu: 0 	action_length: 191
i_episode 79	reward_accu: -1 	action_length: 1
i_episode 80	reward_accu: 0 	action_length: 30
i_episode 81	reward_accu: -1 	action_length: 723
i_episode 82	reward_accu: -1 	action_length: 1
i_episode 83	reward_accu: 0 	action_length: 1711
i_episode 84	reward_accu: -1 	action_length: 23
i_episode 85	reward_accu: -1 	action_length: 44
i_episode 86	reward_accu: -1 	action_length: 287
i_episode 87	reward_accu: 1 	action_length: 2026
i_episode 88	reward_accu: -1 	action_length: 73
i_episode 89	reward_accu: -1 	action_length: 35
i_episode 90	reward_accu: 1 	action_length: 67
i_episode 91	reward_accu: -1 	action_length: 3489
i_episode 92	reward_accu: 0 	action_length: 242
i_episode 93	reward_accu: -1 	action_length: 4
i_episode 94	reward_accu: 0 	action_length: 22
i_episode 95	reward_accu: -1 	action_length: 3
i_episode 96	reward_accu: -1 	action_length: 71
i_episode 97	reward_accu: 0 	action_length: 273
i_episode 98	reward_accu: -1 	action_length: 31
i_episode 99	reward_accu: -1 	action_length: 3
i_episode 100	reward_accu: 1 	action_length: 745
i_episode 101	reward_accu: -1 	action_length: 8
i_episode 102	reward_accu: -1 	action_length: 23
i_episode 103	reward_accu: -1 	action_length: 59
i_episode 104	reward_accu: -1 	action_length: 5
i_episode 105	reward_accu: -1 	action_length: 17
i_episode 106	reward_accu: -1 	action_length: 20
i_episode 107	reward_accu: -1 	action_length: 42
i_episode 108	reward_accu: -1 	action_length: 270
i_episode 109	reward_accu: -1 	action_length: 12
i_episode 110	reward_accu: -1 	action_length: 1
i_episode 111	reward_accu: -1 	action_length: 1
i_episode 112	reward_accu: -1 	action_length: 1
i_episode 113	reward_accu: -1 	action_length: 30
i_episode 114	reward_accu: -1 	action_length: 130
i_episode 115	reward_accu: -1 	action_length: 10
i_episode 116	reward_accu: 1 	action_length: 2031
i_episode 117	reward_accu: -1 	action_length: 39
i_episode 118	reward_accu: -1 	action_length: 21
i_episode 119	reward_accu: 0 	action_length: 41
i_episode 120	reward_accu: -1 	action_length: 29
i_episode 121	reward_accu: -1 	action_length: 28
i_episode 122	reward_accu: -1 	action_length: 24
i_episode 123	reward_accu: -1 	action_length: 22
i_episode 124	reward_accu: -1 	action_length: 33
i_episode 125	reward_accu: 0 	action_length: 16
i_episode 126	reward_accu: 0 	action_length: 2234
i_episode 127	reward_accu: 0 	action_length: 70
i_episode 128	reward_accu: 0 	action_length: 100
i_episode 129	reward_accu: 0 	action_length: 33
i_episode 130	reward_accu: 0 	action_length: 27
i_episode 131	reward_accu: -1 	action_length: 1151
i_episode 132	reward_accu: -1 	action_length: 3
i_episode 133	reward_accu: -1 	action_length: 3
i_episode 134	reward_accu: 0 	action_length: 112
i_episode 135	reward_accu: -1 	action_length: 325
i_episode 136	reward_accu: -1 	action_length: 30
i_episode 137	reward_accu: 0 	action_length: 51
i_episode 138	reward_accu: -1 	action_length: 41
i_episode 139	reward_accu: 0 	action_length: 129
i_episode 140	reward_accu: -1 	action_length: 2
i_episode 141	reward_accu: 0 	action_length: 16
i_episode 142	reward_accu: 0 	action_length: 42
i_episode 143	reward_accu: -1 	action_length: 3
i_episode 144	reward_accu: 0 	action_length: 81
i_episode 145	reward_accu: -1 	action_length: 5
i_episode 146	reward_accu: -1 	action_length: 2
i_episode 147	reward_accu: 1 	action_length: 1643
i_episode 148	reward_accu: -1 	action_length: 4
i_episode 149	reward_accu: -1 	action_length: 27
i_episode 150	reward_accu: -1 	action_length: 19
i_episode 151	reward_accu: 0 	action_length: 19
i_episode 152	reward_accu: 0 	action_length: 1975
i_episode 153	reward_accu: -1 	action_length: 34
i_episode 154	reward_accu: 0 	action_length: 74
i_episode 155	reward_accu: -1 	action_length: 48
i_episode 156	reward_accu: 0 	action_length: 145
i_episode 157	reward_accu: -1 	action_length: 180
i_episode 158	reward_accu: -1 	action_length: 2
i_episode 159	reward_accu: -1 	action_length: 21
i_episode 160	reward_accu: 0 	action_length: 1594
i_episode 161	reward_accu: -1 	action_length: 19
i_episode 162	reward_accu: -1 	action_length: 26
i_episode 163	reward_accu: -1 	action_length: 11
i_episode 164	reward_accu: -1 	action_length: 23
i_episode 165	reward_accu: -1 	action_length: 55
i_episode 166	reward_accu: -1 	action_length: 1
i_episode 167	reward_accu: 0 	action_length: 10
i_episode 168	reward_accu: 1 	action_length: 442
i_episode 169	reward_accu: 1 	action_length: 293
i_episode 170	reward_accu: -1 	action_length: 1
i_episode 171	reward_accu: -1 	action_length: 1266
i_episode 172	reward_accu: -1 	action_length: 1
i_episode 173	reward_accu: -1 	action_length: 34
i_episode 174	reward_accu: -1 	action_length: 1065
i_episode 175	reward_accu: 0 	action_length: 8
i_episode 176	reward_accu: -1 	action_length: 23
i_episode 177	reward_accu: -1 	action_length: 33
i_episode 178	reward_accu: -1 	action_length: 4
i_episode 179	reward_accu: 1 	action_length: 2035
i_episode 180	reward_accu: -1 	action_length: 1864
i_episode 181	reward_accu: -1 	action_length: 21
i_episode 182	reward_accu: -1 	action_length: 1
i_episode 183	reward_accu: -1 	action_length: 1
i_episode 184	reward_accu: -1 	action_length: 162
i_episode 185	reward_accu: -1 	action_length: 34
i_episode 186	reward_accu: 0 	action_length: 30
i_episode 187	reward_accu: 1 	action_length: 33
i_episode 188	reward_accu: -1 	action_length: 40
i_episode 189	reward_accu: -1 	action_length: 13
i_episode 190	reward_accu: -1 	action_length: 4735
i_episode 191	reward_accu: 0 	action_length: 298
i_episode 192	reward_accu: 0 	action_length: 294
i_episode 193	reward_accu: -1 	action_length: 1
i_episode 194	reward_accu: -1 	action_length: 1
i_episode 195	reward_accu: -1 	action_length: 24
i_episode 196	reward_accu: -1 	action_length: 23
i_episode 197	reward_accu: 0 	action_length: 43
i_episode 198	reward_accu: -1 	action_length: 79
i_episode 199	reward_accu: -1 	action_length: 24
i_episode 200	reward_accu: -1 	action_length: 21
i_episode 201	reward_accu: -1 	action_length: 40
i_episode 202	reward_accu: -1 	action_length: 1
i_episode 203	reward_accu: 0 	action_length: 7
i_episode 204	reward_accu: -1 	action_length: 2
i_episode 205	reward_accu: 0 	action_length: 496
i_episode 206	reward_accu: -1 	action_length: 10
i_episode 207	reward_accu: -1 	action_length: 20
i_episode 208	reward_accu: 0 	action_length: 77
i_episode 209	reward_accu: -1 	action_length: 20
i_episode 210	reward_accu: -1 	action_length: 23
i_episode 211	reward_accu: -1 	action_length: 30
i_episode 212	reward_accu: -1 	action_length: 84
i_episode 213	reward_accu: -1 	action_length: 1
i_episode 214	reward_accu: -1 	action_length: 1
i_episode 215	reward_accu: -1 	action_length: 42
i_episode 216	reward_accu: -1 	action_length: 293
i_episode 217	reward_accu: -1 	action_length: 1
i_episode 218	reward_accu: -1 	action_length: 841
i_episode 219	reward_accu: -1 	action_length: 59
i_episode 220	reward_accu: -1 	action_length: 1
i_episode 221	reward_accu: -1 	action_length: 5
i_episode 222	reward_accu: -1 	action_length: 42
i_episode 223	reward_accu: -1 	action_length: 1
i_episode 224	reward_accu: 0 	action_length: 6
i_episode 225	reward_accu: -1 	action_length: 1
i_episode 226	reward_accu: -1 	action_length: 2
i_episode 227	reward_accu: -1 	action_length: 70
i_episode 228	reward_accu: -1 	action_length: 184
i_episode 229	reward_accu: -1 	action_length: 1
i_episode 230	reward_accu: -1 	action_length: 64
i_episode 231	reward_accu: -1 	action_length: 111
i_episode 232	reward_accu: 0 	action_length: 2238
i_episode 233	reward_accu: -1 	action_length: 21
i_episode 234	reward_accu: -1 	action_length: 4
i_episode 235	reward_accu: -1 	action_length: 22
i_episode 236	reward_accu: -1 	action_length: 1
i_episode 237	reward_accu: -1 	action_length: 1
i_episode 238	reward_accu: -1 	action_length: 1
i_episode 239	reward_accu: -1 	action_length: 27
i_episode 240	reward_accu: 0 	action_length: 440
i_episode 241	reward_accu: -1 	action_length: 15
i_episode 242	reward_accu: 0 	action_length: 88
i_episode 243	reward_accu: 0 	action_length: 57
i_episode 244	reward_accu: -1 	action_length: 213
i_episode 245	reward_accu: -1 	action_length: 1
i_episode 246	reward_accu: -1 	action_length: 3
i_episode 247	reward_accu: -1 	action_length: 4
i_episode 248	reward_accu: -1 	action_length: 4
i_episode 249	reward_accu: -1 	action_length: 53
i_episode 250	reward_accu: 0 	action_length: 3
i_episode 251	reward_accu: -1 	action_length: 12
i_episode 252	reward_accu: -1 	action_length: 1
i_episode 253	reward_accu: -1 	action_length: 1
i_episode 254	reward_accu: -1 	action_length: 277
i_episode 255	reward_accu: -1 	action_length: 5
i_episode 256	reward_accu: 0 	action_length: 107
i_episode 257	reward_accu: -1 	action_length: 4
i_episode 258	reward_accu: -1 	action_length: 48
i_episode 259	reward_accu: -1 	action_length: 1
i_episode 260	reward_accu: -1 	action_length: 3
i_episode 261	reward_accu: -1 	action_length: 12
i_episode 262	reward_accu: -1 	action_length: 3
i_episode 263	reward_accu: -1 	action_length: 31
i_episode 264	reward_accu: -1 	action_length: 30
i_episode 265	reward_accu: -1 	action_length: 5
i_episode 266	reward_accu: 0 	action_length: 41
i_episode 267	reward_accu: -1 	action_length: 1
i_episode 268	reward_accu: 0 	action_length: 74
i_episode 269	reward_accu: -1 	action_length: 96
i_episode 270	reward_accu: -1 	action_length: 1
i_episode 271	reward_accu: -1 	action_length: 15
i_episode 272	reward_accu: 0 	action_length: 18
i_episode 273	reward_accu: -1 	action_length: 1
i_episode 274	reward_accu: -1 	action_length: 9
i_episode 275	reward_accu: -1 	action_length: 29
i_episode 276	reward_accu: -1 	action_length: 11
i_episode 277	reward_accu: 0 	action_length: 43
i_episode 278	reward_accu: 0 	action_length: 53
i_episode 279	reward_accu: -1 	action_length: 98
i_episode 280	reward_accu: -1 	action_length: 2
i_episode 281	reward_accu: 0 	action_length: 130
i_episode 282	reward_accu: 0 	action_length: 69
i_episode 283	reward_accu: 0 	action_length: 223
i_episode 284	reward_accu: 0 	action_length: 7
i_episode 285	reward_accu: -1 	action_length: 8
i_episode 286	reward_accu: 0 	action_length: 64
i_episode 287	reward_accu: 0 	action_length: 23
i_episode 288	reward_accu: 0 	action_length: 10
i_episode 289	reward_accu: -1 	action_length: 55
i_episode 290	reward_accu: 0 	action_length: 312
i_episode 291	reward_accu: 0 	action_length: 8
i_episode 292	reward_accu: 0 	action_length: 392
i_episode 293	reward_accu: 0 	action_length: 272
i_episode 294	reward_accu: 0 	action_length: 420
i_episode 295	reward_accu: -1 	action_length: 1
i_episode 296	reward_accu: -1 	action_length: 30
i_episode 297	reward_accu: -1 	action_length: 13
i_episode 298	reward_accu: -1 	action_length: 33
i_episode 299	reward_accu: -1 	action_length: 15
